"orderDate";"productName";"Quantitysold";"quantityInStock";"productLine";"rang_pdts";"taux_ecoulement_stock"
"2022-01-21";"1911 Ford Town Car";50.0;54;"Vintage Cars";12;0.93
"2022-01-21";"1936 Mercedes Benz 500k Roadster";49.0;208;"Vintage Cars";77;0.24
"2022-01-21";"1917 Grand Touring Sedan";30.0;272;"Vintage Cars";1688;0.11
"2022-01-21";"1932 Alfa Romeo 8C2300 Spider Sport";22.0;655;"Vintage Cars";2370;0.03
"2022-01-24";"1938 Cadillac V-16 Presidential Limousine";46.0;285;"Vintage Cars";320;0.16
"2022-01-24";"1939 Chevrolet Deluxe Coupe";45.0;733;"Vintage Cars";416;0.06
"2022-01-24";"1928 Mercedes-Benz SSK";26.0;55;"Vintage Cars";2031;0.47
"2022-01-24";"1932 Model A Ford J-Coupe";25.0;935;"Vintage Cars";2119;0.03
"2022-01-25";"1936 Mercedes-Benz 500K Special Roadster";41.0;864;"Vintage Cars";743;0.05
"2022-01-25";"1937 Lincoln Berline";39.0;869;"Vintage Cars";915;0.04
"2022-02-13";"1917 Maxwell Touring Car";46.0;791;"Vintage Cars";320;0.06
"2022-02-13";"1996 Peterbilt 379 Stake Bed with Outrigger";45.0;81;"Trucks and Buses";416;0.56
"2022-02-13";"1962 LanciaA Delta 16V";42.0;679;"Classic Cars";670;0.06
"2022-02-13";"1982 Camaro Z28";42.0;693;"Classic Cars";670;0.06
"2022-02-13";"1939 Cadillac Limousine";41.0;665;"Vintage Cars";743;0.06
"2022-02-13";"1940s Ford truck";36.0;313;"Trucks and Buses";1154;0.12
"2022-02-13";"1962 Volkswagen Microbus";36.0;233;"Trucks and Buses";1154;0.15
"2022-02-13";"1940 Ford Pickup Truck";35.0;261;"Trucks and Buses";1234;0.13
"2022-02-13";"1934 Ford V8 Coupe";35.0;565;"Vintage Cars";1234;0.06
"2022-02-13";"1980’s GM Manhattan Express";31.0;510;"Trucks and Buses";1589;0.06
"2022-02-13";"1958 Setra Bus";27.0;158;"Trucks and Buses";1935;0.17
"2022-02-13";"1913 Ford Model T Speedster";27.0;419;"Vintage Cars";1935;0.06
"2022-02-13";"1952 Alpine Renault 1300";26.0;731;"Classic Cars";2031;0.04
"2022-02-13";"18th Century Vintage Horse Carriage";25.0;599;"Vintage Cars";2119;0.04
"2022-02-13";"1936 Chrysler Airflow";25.0;471;"Vintage Cars";2119;0.05
"2022-02-13";"1926 Ford Fire Engine";22.0;202;"Trucks and Buses";2370;0.11
"2022-02-15";"1950's Chicago Surface Lines Streetcar";49.0;860;"Trains";77;0.06
"2022-02-15";"1958 Chevy Corvette Limited Edition";44.0;254;"Classic Cars";502;0.17
"2022-02-15";"1957 Chevy Pickup";41.0;613;"Trucks and Buses";743;0.07
"2022-02-15";"1970 Triumph Spitfire";38.0;555;"Classic Cars";997;0.07
"2022-02-15";"1970 Dodge Coronet";35.0;407;"Classic Cars";1234;0.09
"2022-02-15";"1954 Greyhound Scenicruiser";35.0;287;"Trucks and Buses";1234;0.12
"2022-02-15";"1969 Corvair Monza";34.0;691;"Classic Cars";1301;0.05
"2022-02-15";"Diamond T620 Semi-Skirted Tanker";33.0;102;"Trucks and Buses";1409;0.32
"2022-02-15";"1962 City of Detroit Streetcar";32.0;165;"Trains";1503;0.19
"2022-02-15";"1964 Mercedes Tour Bus";29.0;826;"Trucks and Buses";1763;0.04
"2022-02-15";"1992 Porsche Cayenne Turbo Silver";26.0;658;"Classic Cars";2031;0.04
"2022-02-15";"1998 Chrysler Plymouth Prowler";24.0;472;"Classic Cars";2211;0.05
"2022-02-15";"1992 Ferrari 360 Spider red";23.0;835;"Classic Cars";2296;0.03
"2022-02-26";"1972 Alfa Romeo GTA";50.0;325;"Classic Cars";12;0.15
"2022-02-26";"1940 Ford Delivery Sedan";50.0;662;"Vintage Cars";12;0.08
"2022-02-26";"1912 Ford Model T Delivery Wagon";44.0;917;"Vintage Cars";502;0.05
"2022-02-26";"18th century schooner";43.0;190;"Ships";589;0.23
"2022-02-26";"2001 Ferrari Enzo";41.0;362;"Classic Cars";743;0.11
"2022-02-26";"1904 Buick Runabout";41.0;829;"Vintage Cars";743;0.05
